ID,Title,Subtitle,Genre,Popular,Recommended,Searchterms,Key,Year,Catalogue,Instruments,Movements,Description
10133,"Concerto in D minor for 3 Harpsichords, BWV.1063",,Orchestral,0,1,,,,1063,,,"The keyboard concertos, BWV 1052–1065, are concertos for harpsichord (or organ), strings and continuo by Johann Sebastian Bach. There are seven complete concertos for a single harpsichord (BWV 1052–1058), three concertos for two harpsichords (BWV 1060–1062), two concertos for three harpsichords (BWV 1063 and 1064), and one concerto for four harpsichords (BWV 1065). Two other concertos include solo harpsichord parts: the concerto BWV 1044, which has solo parts for harpsichord, violin and flute, and Brandenburg Concerto No. 5 in D major, with the same scoring. In addition, there is a nine-bar concerto fragment for harpsichord (BWV 1059) which adds an oboe to the strings and continuo."
10172,"Italian Concerto, BWV.971",,Keyboard,0,1,,,,971,,,"The Italian Concerto, BWV 971, originally titled Concerto nach Italiænischen Gusto (Concerto in the Italian taste), is a three-movement concerto for two-manual harpsichord solo composed by Johann Sebastian Bach and published in 1735 as the first half of Clavier-Übung II (the second half being the French Overture). The Italian Concerto has become popular among Bach's keyboard works, and has been widely recorded both on the harpsichord and piano."
9895,"Mass in B minor, BWV.232",,Vocal,0,1,,,,232,,,"The Mass in B minor (German: h-Moll-Messe), BWV 232, is an extended setting of the Mass ordinary by Johann Sebastian Bach. The composition was completed in 1749, the year before Bach's death, and was to a large extent based on earlier work, such as a Sanctus Bach had composed in 1724. Sections that were specifically composed to complete the Mass in the late 1740s include the ""Et incarnatus est"" part of the Credo. It is structured in four major sections and scored for five soloists, a choir that is five-part in many sections and divided in the ""Osanna"", and a Baroque ensemble including brass and wind instruments."
9573,"Orchestral Suite no. 1 in C major, BWV.1066",,Orchestral,0,1,,,,1066,,,"The four orchestral suites BWV 1066–1069 (called ouvertures by their composer) are four suites by Johann Sebastian Bach from the years 1724–1731. The name ouverture refers only in part to the opening movement in the style of the French overture, in which a majestic opening section in relatively slow dotted-note rhythm in duple meter is followed by a fast fugal section, then rounded off with a short recapitulation of the opening music. More broadly, the term was used in Baroque Germany for a suite of dance-pieces in French Baroque style preceded by such an ouverture. This genre was extremely popular in Germany during Bach's day, and he showed far less interest in it than was &#91;1&#93; Christoph Graupner left 85; and Johann Friedrich Fasch left almost 100. Bach did write several other ouverture (suites) for solo instruments, notably the Cello Suite no. 5, BWV 1011, which also exists in the autograph Lute Suite in G minor, BWV 995, the Keyboard Partita no. 4 in D, BWV 828, and the Overture in the French style, BWV 831 for keyboard. The two keyboard works are among the few Bach published, and he prepared the lute suite for a ""Monsieur Schouster"", presumably for a fee, so all three may attest to the form's popularity."
9327,"Orchestral Suite no. 2 in B minor, BWV.1067",,Orchestral,0,1,,,,1067,,,"The four orchestral suites BWV 1066–1069 (called ouvertures by their composer) are four suites by Johann Sebastian Bach from the years 1724–1731. The name ouverture refers only in part to the opening movement in the style of the French overture, in which a majestic opening section in relatively slow dotted-note rhythm in duple meter is followed by a fast fugal section, then rounded off with a short recapitulation of the opening music. More broadly, the term was used in Baroque Germany for a suite of dance-pieces in French Baroque style preceded by such an ouverture. This genre was extremely popular in Germany during Bach's day, and he showed far less interest in it than was &#91;1&#93; Christoph Graupner left 85; and Johann Friedrich Fasch left almost 100. Bach did write several other ouverture (suites) for solo instruments, notably the Cello Suite no. 5, BWV 1011, which also exists in the autograph Lute Suite in G minor, BWV 995, the Keyboard Partita no. 4 in D, BWV 828, and the Overture in the French style, BWV 831 for keyboard. The two keyboard works are among the few Bach published, and he prepared the lute suite for a ""Monsieur Schouster"", presumably for a fee, so all three may attest to the form's popularity."
9796,"Orchestral Suite no. 3 in D major, BWV.1068",,Orchestral,1,1,,,,1068,,,"The four orchestral suites BWV 1066–1069 (called ouvertures by their composer) are four suites by Johann Sebastian Bach from the years 1724–1731. The name ouverture refers only in part to the opening movement in the style of the French overture, in which a majestic opening section in relatively slow dotted-note rhythm in duple meter is followed by a fast fugal section, then rounded off with a short recapitulation of the opening music. More broadly, the term was used in Baroque Germany for a suite of dance-pieces in French Baroque style preceded by such an ouverture. This genre was extremely popular in Germany during Bach's day, and he showed far less interest in it than was &#91;1&#93; Christoph Graupner left 85; and Johann Friedrich Fasch left almost 100. Bach did write several other ouverture (suites) for solo instruments, notably the Cello Suite no. 5, BWV 1011, which also exists in the autograph Lute Suite in G minor, BWV 995, the Keyboard Partita no. 4 in D, BWV 828, and the Overture in the French style, BWV 831 for keyboard. The two keyboard works are among the few Bach published, and he prepared the lute suite for a ""Monsieur Schouster"", presumably for a fee, so all three may attest to the form's popularity."
9379,"Partita no. 2 for Solo Violin in D minor, BWV.1004",,Chamber,0,1,,,,1004,,,"The Partita in D minor for solo violin, BWV 1004, by Johann Sebastian Bach, was written between 1717 and 1720. It is a part of his compositional cycle called Sonatas and Partitas for Solo Violin."
9172,"Passacaglia and Fugue in C minor, BWV.582",,Keyboard,1,1,,,,582,,,"Passacaglia and Fugue in C minor (BWV 582) is an organ piece by Johann Sebastian Bach. Presumably composed early in Bach's career, it is one of his most important and well-known works, and an important influence on 19th- and 20th-century 1&#93; Robert Schumann described the variations of the passacaglia as ""intertwined so ingeniously that one can never cease to be amazed.""&#91;2&#93;"
9651,"Passion According to St. John, BWV.245",,Vocal,0,1,,,,245,,,"The Passio secundum Joannem or St John Passion&#91;a&#93; (1&#93; It was written during his first year as director of church music in Leipzig and was first performed on 7 April 1724, at Good Friday Vespers at the St. Nicholas Church.&#91;2&#93;&#91;3&#93;"
9848,"Passion According to St. Matthew, BWV.244",,Vocal,1,1,,,,244,,,"The St Matthew Passion (244, is a Passion, a sacred oratorio written by Johann Sebastian Bach in 1727 for solo voices, double choir and double orchestra, with libretto by Picander. It sets the 26th and 27th chapters of the Gospel of Matthew (in the Luther Bible) to music, with interspersed chorales and arias. It is widely regarded as one of the masterpieces of Baroque sacred music. The original Latin title Passio Domini nostri J.C. secundum Evangelistam Matthæum translates to ""The Passion of our Lord Jesus Christ according to the Evangelist Matthew"".&#91;1&#93;"
9971,"The Musical Offering, BWV.1079",,Chamber,0,1,,,,1079,,,"The Musical Offering (1&#93; This ricercar is also occasionally called the Prussian Fugue, a name used by Bach himself."
10242,"Toccata, Adagio and Fugue in C major, BWV.564",,Keyboard,0,1,,,,564,,,"Toccata, Adagio, and Fugue in C major (BWV 564) is an organ composition by Johann Sebastian Bach. As is the case with most other organ works by Bach, the autograph score does not survive. The earliest manuscript copies were probably made in 1719&#8211;1727. The title of the piece in these copies is given, as expected of organ literature of the time, simply as Toccata in C major (or more precisely, Toccata  pedaliter, referring to the obbligato pedal part).&#91;1&#93; The piece is an early work, probably composed in the mid-to-late Weimar years, i.e. 1710&#8211;1717. It shares some similarities with other toccatas composed around the same time, such as BWV 538, BWV 540, and 2&#93;"
28101,"Toccata and fugue in D minor, BWV.565",,Keyboard,1,1,,,,565,,,"The Toccata and Fugue in D minor, BWV 565, is a composition for organ by, according to the oldest sources, German composer Johann Sebastian Bach. It is one of the most widely recognisable works in the organ repertoire.&#91;1&#93; Although the date of its origin is unknown, scholars have suggested between 1704 and the 1740s (if by Bach).&#91;2&#93; The piece opens with a toccata section followed by a fugue that ends in a coda, and is largely typical of the north German organ school of the Baroque era."
9845,"Violin Concerto in A minor, BWV.1041",,Orchestral,1,1,,,,1041,,,"The Violin Concerto in A minor, BWV 1041, is a violin concerto by Johann Sebastian Bach. It shows the influence of Italian composers such as Bach's older contemporary Vivaldi."
9357,"Violin Concerto in E major, BWV.1042",,Orchestral,0,1,,,,1042,,,"The Violin Concerto in E major, BWV 1042, is a violin concerto by Johann Sebastian Bach. It is based on the three-movement Venetian concerto model, albeit with a few unusual features; each movement has ""un-Italian characteristics"".&#91;1&#93;"
9781,"Well-tempered Clavier, Book 1, BWV.846-869",,Keyboard,0,1,,,,846,,,"The Prelude and Fugue in C major, BWV&#160;846, is a keyboard composition written by Johann Sebastian Bach. It is the first prelude and fugue in the first book of The Well-Tempered Clavier, a series of 48 preludes and fugues by the composer. An early version of the prelude, BWV 846A, is found in the Klavierbüchlein für Wilhelm Friedemann Bach."
9318,"Well-tempered Clavier, Book 2, BWV.870-893",,Keyboard,0,1,,,,870,,,"The Prelude and Fugue in C major, BWV&#160;870, is a keyboard composition written by Johann Sebastian Bach. It is the first prelude and fugue in the second book of The Well-Tempered Clavier, a series of 48 preludes and fugues in every major and minor key."
9101,"2-Part Inventions, BWV.772-786",,Keyboard,0,0,,,,772,,,"The Inventions and Sinfonias, BWV 772–801, also known as the Two- and Three-Part Inventions, are a collection of thirty short keyboard compositions by Johann Sebastian Bach (1685–1750): 15 inventions, which are two-part contrapuntal pieces, and 15 sinfonias, which are three-part contrapuntal pieces. They were originally written as Praeambula and Fantasiae in the Klavierbüchlein für Wilhelm Friedemann Bach, a clavier-booklet for his eldest son, and later rewritten as musical exercises for his students."
9153,"3 Minuets, BWV.841-843",,Keyboard,0,0,,,,841,,,
9077,"3 Wedding Chorales, for chorus and orchestra, BWV.250-52",,Vocal,0,0,,,,250,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9872,"3-Part Inventions, BWV.787-801",,Keyboard,0,0,,,,787,,,"The Inventions and Sinfonias, BWV 772–801, also known as the Two- and Three-Part Inventions, are a collection of thirty short keyboard compositions by Johann Sebastian Bach (1685–1750): 15 inventions, which are two-part contrapuntal pieces, and 15 sinfonias, which are three-part contrapuntal pieces. They were originally written as Praeambula and Fantasiae in the Klavierbüchlein für Wilhelm Friedemann Bach, a clavier-booklet for his eldest son, and later rewritten as musical exercises for his students."
9083,"4 'Duettos', BWV.802-805 ",,Keyboard,0,0,,,,802,,,"The Clavier-Übung III, sometimes referred to as the German Organ Mass, is a collection of compositions for organ by Johann Sebastian Bach, started in 1735–36 and published in 1739. It is considered Bach's most significant and extensive work for organ, containing some of his most musically complex and technically demanding compositions for that instrument."
9181,"5 Preludes, BWV.939-943",,Keyboard,0,0,,,,939,,,"Twelve Little Preludes ( 924–930, 939–942 and 999, is a 19th-century compilation of short pieces, collected from various 18th-century manuscripts written by Johann Sebastian Bach and others. Notwithstanding their diverse origin and characteristics, they were published as a set of twelve keyboard preludes by Bach in, amongst others, the 36th volume of the Bach-Gesellschaft Ausgabe (BGA)."
9451,"6 Preludes, BWV.933-38, ""Six Little Preludes""",,Keyboard,0,0,,,,933,,,"The Six Little Preludes (BWV 933-938) are a group of preludes written by the composer Johann Sebastian Bach for harpsichord. They are all short, pedagogical efforts written in or around the period of 1717–1720, but they were not published until 1802. These pieces are all short but require a strong understanding of technique. The preludes are a part of Bach's 18 Kleine Präludien (18 Little Preludes), which also contains the Twelve Little Preludes.&#91;1&#93; Bach sporadically produced the pieces around 1717–1720, primarily for instructive purposes. They were not intended for public performance, rather as an aid to his son's compositional development.&#91;2&#93;"
9881,"Ach, dass nicht die letzte Stunde, BWV.439",,Vocal,0,0,,,,439,,,"Songs and arias by Johann Sebastian Bach are compositions listed in Chapter 6 of the Bach-Werke-Verzeichnis (BWV 439–524), which also includes the Quodlibet.&#91;1&#93; Most of the songs and arias included in this list are set for voice and continuo. Most of them are also spiritual, i.e. hymn settings, although a few have a worldly theme. The best known of these, ""Bist du bei mir"", was however not composed by Bach."
9824,"Ach, was ist doch unser Leben, BWV.743",,Keyboard,0,0,,,,743,,,
9750,"Ach, was soll ich Sunder machen, BWV.259",,Vocal,0,0,,,,259,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9596,"Ach, was soll ich Sünder machen ",,Keyboard,0,0,,,,,,,
9915,"Ach, was soll ich Sünder machen, BWV.770",,Keyboard,0,0,,,,770,,,
10199,"Ach bleib' bei uns, Herr Jesu Christ, BWV.649",,Keyboard,0,0,,,,649,,,"Sechs Chorale von verschiedener 645–650, is a set of chorale preludes composed by Johann Sebastian Bach. Johann Georg Schübler, after whom the collection came to be named, published it in 1747 or before August 1748, in Zella St.&#160;Blasii. At least five preludes of the compilation are transcribed from movements in Bach's church cantatas, mostly chorale cantatas he had composed around two decades earlier."
9807,"Ach Gott, erhor mein Seufzen, BWV.254",,Vocal,0,0,,,,254,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9491,"Ach Gott, tu dich erbarmen, BWV.1109",,Keyboard,0,0,,,,1109,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
10222,"Ach Gott und Herr, BWV.255",,Vocal,0,0,,,,255,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9946,"Ach Gott und Herr, BWV.714",,Keyboard,0,0,,,,714,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
10054,"Ach Gott vom Himmel sieh darein, BWV.741",,Keyboard,0,0,,,,741,,,
9585,"Ach Herr, mich armen Sünder, BWV.742",,Keyboard,0,0,,,,742,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
9536,"Ach lieben Cheisten, seid getrost, BWV.256",,Vocal,0,0,,,,256,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9510,"Ach wie nichtig, ach wie flüchtig, BWV.644",,Keyboard,0,0,,,,644,,,"The Orgelbüchlein (Little Organ Book) BWV 599−644 is a set of 46 chorale preludes for organ – one of them is given in two versions – by Johann Sebastian Bach. All but three were written between 1708 and 1717 when Bach served as organist to the ducal court in Weimar; the remainder and a short two-bar fragment came no earlier than 1726, after the composer’s appointment as cantor at the Thomasschule in Leipzig."
9605,"Adagio du Concerto pour hautbois en ré mineur",,Orchestral,0,0,,,,,,,
9366,"Adagio in G major, BWV.968",,Keyboard,0,0,,,,968,,,"Keyboard works (Klavierwerke) by Johann Sebastian Bach traditionally refers to Chapter 8 in the BWV catalogue or the fifth series of the New Bach Edition,&#91;1&#93; both of which list compositions for a solo keyboard instrument like the harpsichord or the clavichord. Despite the fact that the organ is also a keyboard instrument, and that in Bach's time the distinction wasn't always made whether a keyboard composition was for organ or another keyboard instrument, Wolfgang Schmieder ranged organ compositions in a separate section of the Bach-Werke-Verzeichnis (Nos. 525-771). Also other compositions for keyboard, like compositions for lute-harpsichord and fortepiano were listed outside the ""Klavierwerke"" range by Schmieder. Lute works are in the range 995–1000, Chapter 9 in the BWV catalogue.&#91;2&#93;"
9887,"Allein Gott in der Hoh sei Ehr, BWV.260",,Vocal,0,0,,,,260,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9497,"Allein Gott in der Höh sei Ehr, BWV.662",,Keyboard,0,0,,,,662,,,"The Great Eighteen Chorale Preludes, BWV 651–668, are a set of chorale preludes for organ prepared by Johann Sebastian Bach in Leipzig in his final decade (1740–1750), from earlier works composed in Weimar, where he was court organist. The works form an encyclopedic collection of large-scale chorale preludes, in a variety of styles harking back to the previous century, that Bach gradually perfected during his career. Together with the Orgelbüchlein, the Schübler Chorales, the third book of the Clavier-Übung and the Canonic Variations, they represent the summit of Bach's sacred music for solo organ.&#91;1&#93;"
9277,"Allein Gott in der Höh sei Ehr, BWV.663",,Keyboard,0,0,,,,663,,,"The Great Eighteen Chorale Preludes, BWV 651–668, are a set of chorale preludes for organ prepared by Johann Sebastian Bach in Leipzig in his final decade (1740–1750), from earlier works composed in Weimar, where he was court organist. The works form an encyclopedic collection of large-scale chorale preludes, in a variety of styles harking back to the previous century, that Bach gradually perfected during his career. Together with the Orgelbüchlein, the Schübler Chorales, the third book of the Clavier-Übung and the Canonic Variations, they represent the summit of Bach's sacred music for solo organ.&#91;1&#93;"
9094,"Allein Gott in der Höh sei Ehr, BWV.675",,Keyboard,0,0,,,,675,,,"The Clavier-Übung III, sometimes referred to as the German Organ Mass, is a collection of compositions for organ by Johann Sebastian Bach, started in 1735–36 and published in 1739. It is considered Bach's most significant and extensive work for organ, containing some of his most musically complex and technically demanding compositions for that instrument."
9707,"Allein Gott in der Höh sei Ehr, BWV.676",,Keyboard,0,0,,,,676,,,"The Clavier-Übung III, sometimes referred to as the German Organ Mass, is a collection of compositions for organ by Johann Sebastian Bach, started in 1735–36 and published in 1739. It is considered Bach's most significant and extensive work for organ, containing some of his most musically complex and technically demanding compositions for that instrument."
9304,"Allein Gott in der Höh sei Ehr, BWV.677",,Keyboard,0,0,,,,677,,,"The Clavier-Übung III, sometimes referred to as the German Organ Mass, is a collection of compositions for organ by Johann Sebastian Bach, started in 1735–36 and published in 1739. It is considered Bach's most significant and extensive work for organ, containing some of his most musically complex and technically demanding compositions for that instrument."
10039,"Allein Gott in der Höh sei Ehr, BWV.711",,Keyboard,0,0,,,,711,,,
9301,"Allein Gott in der Höh sei Ehr, BWV.715",,Keyboard,0,0,,,,715,,,
9269,"Allein Gott in der Höh sei Ehr, BWV.717",,Keyboard,0,0,,,,717,,,
9673,"Allein zu dir, Herr Jesu Christ, BWV.261",,Vocal,0,0,,,,261,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9415,"Allein zu dir, Herr Jesu Christ, BWV.1100",,Keyboard,0,0,,,,1100,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
10202,"Allemande in G minor, BWV.836",,Keyboard,0,0,,,,836,,,
9789,"Allemande in G minor, BWV.837",,Keyboard,0,0,,,,837,,,
10114,"Alle Menschen müssen sterben, BWV.643",,Keyboard,0,0,,,,643,,,"The Orgelbüchlein (Little Organ Book) BWV 599−644 is a set of 46 chorale preludes for organ – one of them is given in two versions – by Johann Sebastian Bach. All but three were written between 1708 and 1717 when Bach served as organist to the ducal court in Weimar; the remainder and a short two-bar fragment came no earlier than 1726, after the composer’s appointment as cantor at the Thomasschule in Leipzig."
9349,"Alle Menschen müssen sterben, BWV.1117",,Keyboard,0,0,,,,1117,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
9810,"Alle Menschern mussen sterben, BWV.262",,Vocal,0,0,,,,262,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9348,"Alles ist an Gottes Segen, BWV.263",,Vocal,0,0,,,,263,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9876,"Alles mit Gott, nichts ohn' ihn, BWV.1127",,Vocal,0,0,,,,1127,,,"""Alles mit Gott und nichts ohn' ihn"" (Everything with God and nothing without him), BWV&#160;1127, is Johann Sebastian Bach's October 1713 setting of a poem in 12 stanzas by Johann Anton Mylius, Superintendent of Buttstädt, a town in the Duchy of Saxe-Weimar.&#91;1&#93;&#91;2&#93; The poem is an acrostic dedicated to Duke Wilhelm Ernst of Saxe-Weimar, on his birthday (30 October).&#91;3&#93; Bach, at the time employed as court organist by the Duke, set Mylius's ode as an aria in strophic form, that is a melody for soprano accompanied by continuo for the stanzas, alternated with a ritornello for strings and continuo.&#91;4&#93; When all stanzas are sung, a performance of the work takes around 45 to 50 minutes.&#91;5&#93;&#91;6&#93;"
10027,"Als def gutige Gott, BWV.264",,Vocal,0,0,,,,264,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
10035,"Als Jesus Christus in der Nacht, BWV.1108",,Keyboard,0,0,,,,1108,,,"The Neumeister Collection is a compilation of 82 chorale preludes found in a manuscript copy produced by Johann Gottfried Neumeister (1757–1840). When the manuscript was rediscovered at Yale University in the 1980s it appeared to contain 31 previously unknown early chorale settings by Johann Sebastian Bach, which were added to the BWV catalogue as Nos.&#160;1090–1120, and published in 1985."
9611,"Als vierzig Tag nach Ostern, BWV.266",,Vocal,0,0,,,,266,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9568,"An Wasserflussen Babylon, BWV.267",,Vocal,0,0,,,,267,,,"Johann Sebastian Bach's chorale harmonisations, alternatively named four-part chorales, are Lutheran hymn settings that characteristically conform to the following:"
9204,"An Wasserflüssen Babylon, BWV.653",,Keyboard,0,0,,,,653,,,"The Great Eighteen Chorale Preludes, BWV 651–668, are a set of chorale preludes for organ prepared by Johann Sebastian Bach in Leipzig in his final decade (1740–1750), from earlier works composed in Weimar, where he was court organist. The works form an encyclopedic collection of large-scale chorale preludes, in a variety of styles harking back to the previous century, that Bach gradually perfected during his career. Together with the Orgelbüchlein, the Schübler Chorales, the third book of the Clavier-Übung and the Canonic Variations, they represent the summit of Bach's sacred music for solo organ.&#91;1&#93;"
